City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
1,Iracoubo,GF,77.45,5.4802,-53.2011,overcast clouds,Le Gîte d’Iracoubo
8,Kavaratti,IN,81.07,10.5669,72.642,overcast clouds,Green leaf
14,Hilo,US,86.29,19.7297,-155.09,scattered clouds,Hilo Hawaiian Hotel
23,Salalah,OM,75.29,17.0151,54.0924,clear sky,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
27,Morant Bay,JM,82.02,17.8815,-76.4093,overcast clouds,Whispering Bamboo Cove Resort
28,Avarua,CK,78.85,-21.2078,-159.775,broken clouds,Paradise Inn
31,Laguna,US,79.09,38.421,-121.4238,clear sky,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
36,Porbandar,IN,83.89,21.6422,69.6093,overcast clouds,Lords Inn Porbandar
37,Dawei,MM,84.24,14.0833,98.2,scattered clouds,Hotel Dawei
39,Georgetown,MY,84.13,5.4112,100.3354,few clouds,Cititel Penang
44,Kahului,US,87.82,20.8947,-156.47,scattered clouds,Maui Seaside Hotel
45,Kapaa,US,84.18,22.0752,-159.319,heavy intensity rain,Sheraton Kauai Coconut Beach Resort
49,Bengkulu,ID,77.54,-3.8004,102.2655,overcast clouds,Grage Hotel Bengkulu
51,Butaritari,KI,82.27,3.0707,172.7902,clear sky,Isles Sunset Lodge
52,Vila Velha,BR,75.15,-20.3297,-40.2925,clear sky,Hotel Vitória Palace
53,Atuona,PF,77.25,-9.8,-139.0333,few clouds,Villa Enata
66,Bahia Honda,CU,77.81,22.9036,-83.1592,scattered clouds,Casa Gualberto - Deysi
72,Aswan,EG,76.3,24.0934,32.907,clear sky,Nuba Nile
74,Alappuzha,IN,80.49,9.49,76.3264,broken clouds,Panoramic Sea Resort
78,Aloleng,PH,85.14,16.1307,119.7824,overcast clouds,Steve Walden and Emma Sison-Walden Residence
79,Saint George,US,81.19,37.1041,-113.5841,clear sky,Best Western Plus Abbey Inn
80,Sao Filipe,CV,78.75,14.8961,-24.4956,broken clouds,Hotel Xaguate
93,Lazaro Cardenas,MX,81.09,17.9583,-102.2,overcast clouds,HOTEL QUINTA ANTIGUA
98,Vaini,TO,78.96,-21.2,-175.2,few clouds,Keleti Beach Resort
116,Itarema,BR,78.64,-2.9248,-39.9167,few clouds,"Sea Lounge! Bar, Club & Restaurant"
118,Kieta,PG,84.07,-6.2167,155.6333,light rain,Uruna Bay Retreat
119,Nisia Floresta,BR,76.01,-6.0911,-35.2086,few clouds,Rancho Crepusculo
