City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kaitangata,NZ,-46.2817,169.8464,53.35,56,19,9.33,few clouds
1,Iracoubo,GF,5.4802,-53.2011,77.45,88,100,6.76,overcast clouds
2,Port-Cartier,CA,50.0334,-66.8654,43.02,89,89,5.59,overcast clouds
3,Ushuaia,AR,-54.8,-68.3,35.26,87,75,33.38,broken clouds
4,Nieuwpoort,BE,51.1244,2.7735,56.23,94,100,6.91,light rain
5,Carnarvon,AU,-24.8667,113.6333,73.45,26,0,14.29,clear sky
6,Portland,US,45.5234,-122.6762,72.18,63,0,3.0,clear sky
7,Belmonte,BR,-15.8631,-38.8828,74.52,82,69,9.1,broken clouds
8,Kavaratti,IN,10.5669,72.642,81.07,73,91,6.2,overcast clouds
9,Rikitea,PF,-23.1203,-134.9692,69.21,62,0,15.3,clear sky
10,Jamestown,US,42.097,-79.2353,63.99,54,100,10.36,overcast clouds
11,Faya,SA,18.3851,42.4509,55.92,24,20,5.17,few clouds
12,Boston,US,42.3584,-71.0598,59.45,79,20,10.36,few clouds
13,Solnechnyy,RU,50.7214,136.6319,48.13,58,99,6.8,overcast clouds
14,Hilo,US,19.7297,-155.09,86.29,80,40,11.5,scattered clouds
15,Angoche,MZ,-16.2325,39.9086,70.66,90,0,3.85,clear sky
16,Ostrovnoy,RU,68.0531,39.5131,38.26,85,38,10.6,scattered clouds
17,Mataura,NZ,-46.1927,168.8643,57.31,43,3,4.81,clear sky
18,Vostok,RU,46.4856,135.8833,53.31,40,97,3.87,overcast clouds
19,Damghan,IR,36.1683,54.348,59.16,61,0,4.14,clear sky
20,Mount Isa,AU,-20.7333,139.5,100.17,25,40,18.41,scattered clouds
21,Guerrero Negro,MX,27.9769,-114.0611,69.35,80,100,17.36,overcast clouds
22,Punta Arenas,CL,-53.15,-70.9167,35.71,69,40,23.02,scattered clouds
23,Salalah,OM,17.0151,54.0924,75.29,78,0,5.75,clear sky
24,Saskylakh,RU,71.9167,114.0833,22.8,96,100,7.87,overcast clouds
25,Yuncheng,CN,35.0231,110.9928,65.16,32,100,2.17,overcast clouds
26,Hasaki,JP,35.7333,140.8333,68.22,87,100,15.46,moderate rain
27,Morant Bay,JM,17.8815,-76.4093,82.02,82,92,7.11,overcast clouds
28,Avarua,CK,-21.2078,-159.775,78.85,78,75,14.97,broken clouds
29,Honningsvag,NO,70.9821,25.9704,42.55,75,75,10.36,broken clouds
30,Bluff,NZ,-46.6,168.3333,49.84,63,51,8.93,broken clouds
31,Laguna,US,38.421,-121.4238,79.09,60,0,6.91,clear sky
32,Merced,US,37.1666,-120.7516,78.3,47,0,6.2,clear sky
33,Qaanaaq,GL,77.484,-69.3632,6.44,62,20,8.63,few clouds
34,Barrow,US,71.2906,-156.7887,30.22,80,75,18.41,snow
35,Ponta Do Sol,PT,32.6667,-17.1,71.71,71,44,3.89,scattered clouds
36,Porbandar,IN,21.6422,69.6093,83.89,66,94,4.83,overcast clouds
37,Dawei,MM,14.0833,98.2,84.24,68,37,1.72,scattered clouds
38,Tieli,CN,46.95,128.05,56.95,57,0,11.43,clear sky
39,Georgetown,MY,5.4112,100.3354,84.13,84,20,5.01,few clouds
40,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,55.99,44,75,20.13,broken clouds
41,Vardo,NO,70.3705,31.1107,39.18,81,20,18.41,few clouds
42,Iqaluit,CA,63.7506,-68.5145,20.93,79,20,3.44,few clouds
43,Concordia,AR,-31.393,-58.0209,56.79,70,0,8.12,clear sky
44,Kahului,US,20.8947,-156.47,87.82,73,40,6.91,scattered clouds
45,Kapaa,US,22.0752,-159.319,84.18,91,100,6.91,heavy intensity rain
46,Puerto Ayora,EC,-0.7393,-90.3518,67.55,89,10,3.0,clear sky
47,Tabas,IR,33.5959,56.9244,66.42,16,0,4.61,clear sky
48,Meadow Lake,US,34.8014,-106.5436,67.12,24,0,3.6,clear sky
49,Bengkulu,ID,-3.8004,102.2655,77.54,85,100,2.42,overcast clouds
50,New Norfolk,AU,-42.7826,147.0587,62.71,71,100,3.0,light rain
51,Butaritari,KI,3.0707,172.7902,82.27,75,5,20.27,clear sky
52,Vila Velha,BR,-20.3297,-40.2925,75.15,83,0,9.22,clear sky
53,Atuona,PF,-9.8,-139.0333,77.25,78,14,20.67,few clouds
54,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,80,40,5.75,scattered clouds
55,Mahebourg,MU,-20.4081,57.7,72.25,73,40,5.75,scattered clouds
56,Busselton,AU,-33.65,115.3333,56.82,59,75,4.61,broken clouds
57,Sao Domingos Do Prata,BR,-19.865,-42.9683,66.58,63,4,2.84,clear sky
58,Yellowknife,CA,62.456,-114.3525,28.92,74,20,5.75,few clouds
59,Evensk,RU,61.95,159.2333,29.75,54,96,9.6,overcast clouds
60,Nanortalik,GL,60.1432,-45.2371,27.93,66,15,9.26,few clouds
61,Upernavik,GL,72.7868,-56.1549,13.32,74,2,5.08,clear sky
62,Hermanus,ZA,-34.4187,19.2345,63.81,90,95,3.51,overcast clouds
63,Bayir,TR,37.2687,28.2167,50.52,84,0,4.09,clear sky
64,Dikson,RU,73.5069,80.5464,29.17,76,99,13.13,overcast clouds
65,Coquimbo,CL,-29.9533,-71.3436,53.33,93,0,4.61,clear sky
66,Bahia Honda,CU,22.9036,-83.1592,77.81,85,34,3.62,scattered clouds
67,Imeni Poliny Osipenko,RU,52.4201,136.4853,45.86,60,100,11.39,overcast clouds
68,Vanino,RU,49.0869,140.2543,55.67,41,48,4.27,scattered clouds
69,Nhulunbuy,AU,-12.2333,136.7667,90.21,58,40,12.66,scattered clouds
70,San Ignacio,BZ,17.1561,-89.0714,74.46,99,100,1.99,overcast clouds
71,Albany,US,42.6001,-73.9662,58.57,74,100,6.93,overcast clouds
72,Aswan,EG,24.0934,32.907,76.3,33,0,9.22,clear sky
73,Ekibastuz,KZ,51.6667,75.3667,46.56,65,74,9.51,broken clouds
74,Alappuzha,IN,9.49,76.3264,80.49,79,64,5.01,broken clouds
75,Khatanga,RU,71.9667,102.5,23.65,96,95,6.64,overcast clouds
76,Cape Town,ZA,-33.9258,18.4232,63.91,89,75,14.97,broken clouds
77,Margate,GB,51.3813,1.3862,58.3,91,100,1.01,moderate rain
78,Aloleng,PH,16.1307,119.7824,85.14,67,99,5.41,overcast clouds
