City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ushuaia,-54.8,-68.3,42.46,75,0,5.75,AR,2022-10-03 01:11:29
1,Bathsheba,13.2167,-59.5167,79.41,94,40,8.05,BB,2022-10-03 01:14:04
2,Khatanga,71.9667,102.5,23.77,96,99,11.32,RU,2022-10-03 01:14:04
3,Wanning,18.8003,110.3967,82.92,78,20,6.04,CN,2022-10-03 01:14:04
4,Rikitea,-23.1203,-134.9692,74.68,64,95,5.03,PF,2022-10-03 01:14:05
5,Punta Arenas,-53.15,-70.9167,42.91,70,0,10.36,CL,2022-10-03 01:14:05
6,Thompson,55.7435,-97.8558,62.76,51,40,10.36,CA,2022-10-03 01:14:06
7,Ihosy,-22.4,46.1167,58.1,96,16,3.31,MG,2022-10-03 01:14:06
8,Hermanus,-34.4187,19.2345,58.8,81,88,12.48,ZA,2022-10-03 01:14:06
9,Hobart,-42.8794,147.3294,62.06,66,75,5.75,AU,2022-10-03 01:12:59
10,Cherskiy,68.75,161.3,29.12,86,100,12.28,RU,2022-10-03 01:14:07
11,Atuona,-9.8,-139.0333,76.95,75,38,17.67,PF,2022-10-03 01:14:07
12,Pangkalanbuun,-2.6833,111.6167,78.35,88,100,0.76,ID,2022-10-03 01:14:08
13,Beyneu,45.3167,55.2,50.38,44,3,12.73,KZ,2022-10-03 01:14:08
14,Aklavik,68.2191,-135.0107,29.14,96,100,4.56,CA,2022-10-03 01:14:08
15,Hilo,19.7297,-155.09,85.24,73,40,6.91,US,2022-10-03 01:14:09
16,Bisauli,28.3167,78.9333,74.95,76,0,4.7,IN,2022-10-03 01:14:09
17,Cabo San Lucas,22.8909,-109.9124,87.1,61,40,4.61,MX,2022-10-03 01:12:29
18,Avarua,-21.2078,-159.775,77.05,57,75,19.57,CK,2022-10-03 01:14:10
19,Palmer,42.1584,-72.3287,49.62,64,75,3.44,US,2022-10-03 01:14:10
20,Tanggu,39.0211,117.6469,66.16,89,100,13.98,CN,2022-10-03 01:14:11
21,Sur,22.5667,59.5289,78.76,77,2,7.47,OM,2022-10-03 01:14:11
22,Veracruz,19.3333,-96.6667,67.59,95,58,0.92,MX,2022-10-03 01:14:11
23,Hofn,64.2539,-15.2082,46.09,76,100,2.42,IS,2022-10-03 01:10:14
24,Honningsvag,70.9821,25.9704,38.95,81,100,0.0,NO,2022-10-03 01:14:12
25,Mar Del Plata,-38.0023,-57.5575,50.09,77,75,14.97,AR,2022-10-03 01:14:12
26,Tuktoyaktuk,69.4541,-133.0374,26.6,80,100,12.66,CA,2022-10-03 01:14:12
27,Asuncion,-25.3007,-57.6359,69.24,56,0,6.91,PY,2022-10-03 01:14:13
28,Bengkulu,-3.8004,102.2655,77.22,86,81,1.41,ID,2022-10-03 01:14:13
29,Bilibino,68.0546,166.4372,31.37,81,99,0.45,RU,2022-10-03 01:14:14
30,Albany,42.6001,-73.9662,49.68,63,100,6.53,US,2022-10-03 01:14:14
31,Ribeira Grande,38.5167,-28.7,71.92,86,33,10.0,PT,2022-10-03 01:14:14
32,Hokitika,-42.7167,170.9667,55.08,68,100,3.04,NZ,2022-10-03 01:14:15
33,Hithadhoo,-0.6,73.0833,81.37,69,82,15.1,MV,2022-10-03 01:14:15
34,Tchollire,8.4022,14.1698,70.95,97,63,2.95,CM,2022-10-03 01:14:16
35,Busselton,-33.65,115.3333,57.27,51,100,13.73,AU,2022-10-03 01:14:16
36,Bluff,-46.6,168.3333,47.8,52,100,20.2,NZ,2022-10-03 01:14:16
37,Hasaki,35.7333,140.8333,81.28,64,78,6.31,JP,2022-10-03 01:14:17
38,Mitu,1.1983,-70.1733,71.15,96,100,1.05,CO,2022-10-03 01:14:17
39,Victoria,22.2855,114.1577,86.97,82,60,5.99,HK,2022-10-03 01:10:41
40,Cuauhtemoc,28.4167,-106.8667,63.46,51,67,7.38,MX,2022-10-03 01:14:18
41,Norman Wells,65.282,-126.8329,35.64,87,75,2.3,CA,2022-10-03 01:14:18
42,Kanigiri,15.4,79.5167,79.0,69,98,5.46,IN,2022-10-03 01:14:19
43,Alta Floresta,-9.8756,-56.0861,81.97,52,100,4.29,BR,2022-10-03 01:14:20
44,Tasiilaq,65.6145,-37.6368,41.16,98,100,16.33,GL,2022-10-03 01:14:20
